Unnamed: 0,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount,Transaction_count_log,Transaction_amount_log
2202,Meghalaya,2018,2,Financial Services,592,580648.3434132106,6.3835066348840055,13.271900591683027
2203,Meghalaya,2018,2,Others,1817,1962212.2350756056,7.504942068396171,14.489583086078598
2204,Meghalaya,2018,3,Recharge & bill payments,60625,14231601.453371253,11.012462628239785,16.470975504378313
2205,Meghalaya,2018,3,Peer-to-peer payments,40832,187460582.05754715,10.617221366704461,19.049079152247106
2206,Meghalaya,2018,3,Merchant payments,5802,5458930.689379572,8.665957964681349,15.512763484105086
2207,Meghalaya,2018,3,Financial Services,748,552674.5783359876,6.617402977974478,13.222524641351894
2208,Meghalaya,2018,3,Others,2283,2149872.755760235,7.733245646529795,14.580919214985109
2209,Meghalaya,2018,4,Recharge & bill payments,82962,18100891.637344178,11.326137950616673,16.711471756754456
2210,Meghalaya,2018,4,Peer-to-peer payments,58952,301941442.7059927,10.984478832446836,19.525743658213905
2211,Meghalaya,2018,4,Merchant payments,15768,14434314.193342488,9.665737848832556,16.485118859963872
2212,Meghalaya,2018,4,Financial Services,763,190875.1884897996,6.637258031284457,12.159375030024307
2213,Meghalaya,2018,4,Others,2687,2918155.279504664,7.8961806086154915,14.886462221009783
2214,Meghalaya,2019,1,Recharge & bill payments,98817,23006751.795504905,11.501024933711841,16.951298287140496
2215,Meghalaya,2019,1,Peer-to-peer payments,90694,358932132.1046898,11.415246481765132,19.69864388151876
2216,Meghalaya,2019,1,Merchant payments,16073,14297275.230527855,9.684896124569141,16.475579533754722
2217,Meghalaya,2019,1,Financial Services,659,62335.064750311045,6.490723534502507,11.040279383525805
2218,Meghalaya,2019,1,Others,2498,2738667.957962149,7.823245690685523,14.822982213427476
2219,Meghalaya,2019,2,Recharge & bill payments,108812,27248605.42923336,11.597376901439677,17.120512900855076
2220,Meghalaya,2019,2,Peer-to-peer payments,97407,446537199.1735684,11.486653355631367,19.91703326762925
2221,Meghalaya,2019,2,Merchant payments,22588,15600927.006629135,10.025174070792728,16.56284089395613
2222,Meghalaya,2019,2,Financial Services,460,106800.75308155928,6.131226489483141,11.578720256808833
2223,Meghalaya,2019,2,Others,3019,3437756.744766518,8.012680929706839,15.050329707554473
2224,Meghalaya,2019,3,Recharge & bill payments,155949,38916251.42165714,11.957284309703752,17.476922495680935
2225,Meghalaya,2019,3,Peer-to-peer payments,116168,546221812.6889315,11.662792698210573,20.118535701557878
2226,Meghalaya,2019,3,Merchant payments,31201,23461321.889810227,10.348205424565993,16.970863746141422
2227,Meghalaya,2019,3,Financial Services,421,584192.9488108774,6.042632833682381,13.27798659904246
2228,Meghalaya,2019,3,Others,2811,3035023.204323471,7.941295570906532,14.92572962802261
2229,Meghalaya,2019,4,Recharge & bill payments,175084,43611775.02621875,12.073021137742503,17.590837741265773
2230,Meghalaya,2019,4,Peer-to-peer payments,163734,670870023.4297696,12.005998438799908,20.324085970404717
2231,Meghalaya,2019,4,Merchant payments,24430,25344714.50557894,10.103567164251785,17.048080765496042
2232,Meghalaya,2019,4,Financial Services,382,124511.63613216748,5.945420608606575,11.732154453428489
2233,Meghalaya,2019,4,Others,2351,2485447.192519395,7.762596048540069,14.72596315807084
2234,Meghalaya,2020,1,Recharge & bill payments,226214,59666071.21530793,12.329236732879776,17.904274095455413
2235,Meghalaya,2020,1,Peer-to-peer payments,216022,1013733312.3935764,12.283135533331606,20.736905701994367
2236,Meghalaya,2020,1,Merchant payments,57245,44125206.34755945,10.955095581357913,17.602541749638743
2237,Meghalaya,2020,1,Financial Services,473,402779.89033132966,6.159095388491933,12.90614551388148
2238,Meghalaya,2020,1,Others,2329,2207471.061039081,7.753194269884341,14.607358101992254
2239,Meghalaya,2020,2,Recharge & bill payments,382662,100570200.25271696,12.854907371997227,18.42636655159614
2240,Meghalaya,2020,2,Peer-to-peer payments,202270,998750895.9111592,12.21735871754714,20.722015952076806
2241,Meghalaya,2020,2,Merchant payments,46014,48980521.41595118,10.736700976992914,17.70693325491859
2242,Meghalaya,2020,2,Financial Services,1186,2944583.114737345,7.078341579557671,14.895477808082443
