Unnamed: 0,State,Year,Quarter,brands,Count,Percentage,Count_log,Percentage_log
1324,Dadra and Nagar Haveli and Daman and Diu,2018,2,Realme,3991,0.0558509893923703,8.291797105048733,-2.8850680384515868
1325,Dadra and Nagar Haveli and Daman and Diu,2018,2,Lenovo,2117,0.0296257941728008,7.6577552711348655,-3.519109872365455
1326,Dadra and Nagar Haveli and Daman and Diu,2018,2,Motorola,1935,0.0270788435164712,7.5678626054638825,-3.609002538036438
1327,Dadra and Nagar Haveli and Daman and Diu,2018,2,Apple,1812,0.0253575526882924,7.502186486602924,-3.674678656897396
1328,Dadra and Nagar Haveli and Daman and Diu,2018,2,OnePlus,1328,0.0185843432505807,7.191429330036379,-3.9854358134639436
1329,Dadra and Nagar Haveli and Daman and Diu,2018,2,Huawei,1132,0.015841473312995,7.0317412587631285,-4.1451238847371945
1330,Dadra and Nagar Haveli and Daman and Diu,2018,2,Others,8409,0.1176775168630524,9.037057839832897,-2.139807303667422
1331,Dadra and Nagar Haveli and Daman and Diu,2018,3,Xiaomi,22407,0.2432714125962196,10.017128689025176,-1.4135775346731436
1332,Dadra and Nagar Haveli and Daman and Diu,2018,3,Samsung,17165,0.1863593429381046,9.750627705891793,-1.6800785178065274
1333,Dadra and Nagar Haveli and Daman and Diu,2018,3,Vivo,16781,0.1821902786976017,9.728002573001161,-1.702703650697158
1334,Dadra and Nagar Haveli and Daman and Diu,2018,3,Oppo,9875,0.1072122639973074,9.197761589769323,-2.232944633928998
1335,Dadra and Nagar Haveli and Daman and Diu,2018,3,Realme,5100,0.055370384444179,8.536995818712418,-2.8937104049859035
1336,Dadra and Nagar Haveli and Daman and Diu,2018,3,Lenovo,2523,0.0273920548926791,7.833203948641057,-3.5975022750572645
1337,Dadra and Nagar Haveli and Daman and Diu,2018,3,Motorola,2378,0.0258177988643642,7.774015077250727,-3.6566911464475953
1338,Dadra and Nagar Haveli and Daman and Diu,2018,3,Apple,2146,0.0232989892190604,7.671360923190644,-3.7593453005076776
1339,Dadra and Nagar Haveli and Daman and Diu,2018,3,OnePlus,1545,0.0167739694051483,7.3427791893318455,-4.087927034366477
1340,Dadra and Nagar Haveli and Daman and Diu,2018,3,Huawei,1514,0.0164374043232327,7.322510433997394,-4.10819578970093
1341,Dadra and Nagar Haveli and Daman and Diu,2018,3,Others,10673,0.1158761006221025,9.275472466913964,-2.155233756784355
1342,Dadra and Nagar Haveli and Daman and Diu,2018,4,Xiaomi,28477,0.2444146904584116,10.25685202289892,-1.4088889452324858
1343,Dadra and Nagar Haveli and Daman and Diu,2018,4,Vivo,22409,0.1923337710602432,10.01721794286315,-1.648523025268256
1344,Dadra and Nagar Haveli and Daman and Diu,2018,4,Samsung,21520,0.1847035902189492,9.976738014275721,-1.689002953855686
1345,Dadra and Nagar Haveli and Daman and Diu,2018,4,Oppo,12699,0.1089940005664701,9.449278529189034,-2.216462438942373
1346,Dadra and Nagar Haveli and Daman and Diu,2018,4,Realme,6489,0.0556943121250354,8.77786371462117,-2.8878772535102377
1347,Dadra and Nagar Haveli and Daman and Diu,2018,4,Lenovo,2931,0.0251564229986868,7.983098940710892,-3.6826420274205147
1348,Dadra and Nagar Haveli and Daman and Diu,2018,4,Motorola,2811,0.0241264773283209,7.941295570906532,-3.724445397224876
1349,Dadra and Nagar Haveli and Daman and Diu,2018,4,Apple,2546,0.0218520139729295,7.842278779117352,-3.8234621890140588
1350,Dadra and Nagar Haveli and Daman and Diu,2018,4,Huawei,2029,0.0174146647097698,7.615298339825815,-4.050442628305597
1351,Dadra and Nagar Haveli and Daman and Diu,2018,4,OnePlus,1795,0.0154062706525564,7.492760300922379,-4.1729806672090275
1352,Dadra and Nagar Haveli and Daman and Diu,2018,4,Others,12805,0.1099037859086266,9.457590998633625,-2.2081499694977813
1353,Dadra and Nagar Haveli and Daman and Diu,2019,1,Xiaomi,34460,0.2452110551333504,10.44755451008192,-1.4056359897482171
1354,Dadra and Nagar Haveli and Daman and Diu,2019,1,Vivo,27883,0.1984103264736857,10.23577246310278,-1.6174180367273578
1355,Dadra and Nagar Haveli and Daman and Diu,2019,1,Samsung,25799,0.1835809637662596,10.15809101046861,-1.6950994893615277
1356,Dadra and Nagar Haveli and Daman and Diu,2019,1,Oppo,15701,0.1117254433154014,9.661479683575521,-2.191710816254617
