State,Year,Quarter,District,Count,Amount,Count_log,Amount_log
Gujarat,2021,1,dohad district,548628,1226581747.5402272,13.21517589519158,20.927497070514075
Gujarat,2021,1,navsari district,1022239,1773256368.3156428,13.837505877591836,21.296083449364225
Gujarat,2021,1,patan district,1165681,2425828408.868511,13.968816023555737,21.609438914904338
Gujarat,2021,1,kachchh district,2664604,6036765372.934219,14.795566011670523,22.52113417116102
Gujarat,2021,1,surendranagar district,806962,1725777306.55805,13.601031858163239,21.268943398431833
Gujarat,2021,1,morbi district,848276,2219169833.3171697,13.65096133351773,21.52039901393802
Gujarat,2021,2,anand district,1711394,3014631897.6682367,14.352818801058344,21.826743569346302
Gujarat,2021,2,jamnagar district,1155054,2206347098.925128,13.959657654091885,21.514604088521683
Gujarat,2021,2,devbhumi dwarka district,333279,738788439.0915308,12.716735256010221,20.42052215794214
Gujarat,2021,2,rajkot district,2675842,5707346831.237131,14.799774655138847,22.46502009960639
Gujarat,2021,2,aravallis district,847681,1683647671.7291918,13.650259664755595,21.24422850981334
Gujarat,2021,2,chhotaudepur district,275873,540185404.7441366,12.527695893872586,20.107422980712947
Gujarat,2021,2,botad district,550313,1280565807.277298,13.218242486246924,20.97056785414378
Gujarat,2021,2,bharuch district,3937665,6464930552.559841,15.186098465999951,22.589658107049093
Gujarat,2021,2,bhavnagar district,1660432,3448497365.237627,14.322588367439776,21.961204426803903
Gujarat,2021,2,junagadh district,700286,1487953525.534356,13.459244102011535,21.120667540029743
Gujarat,2021,2,mahesana district,3118685,6292779692.204142,14.952921996581408,22.562668732488785
Gujarat,2021,2,the dangs district,105158,157878766.4304675,11.563219260024695,18.87733799539211
Gujarat,2021,2,kheda district,1362561,2503386769.0668764,14.124876575159563,21.640910359658832
Gujarat,2021,2,surat district,15230233,30756115155.739143,16.53879302350678,24.14935467828085
Gujarat,2021,2,porbandar district,227413,558446703.6568799,12.334523026650473,20.140669744268955
Gujarat,2021,2,gandhinagar district,4552010,7835004938.194845,15.331079451622447,22.781867343027947
Gujarat,2021,2,panch mahals district,1214442,2245183337.229858,14.009795270005693,21.532053019496608
Gujarat,2021,2,narmada district,332174,534890391.66917926,12.713414206993624,20.09757240848574
Gujarat,2021,2,gir somnath district,746122,1686621125.0672534,13.522644404688869,21.245993030264874
Gujarat,2021,2,valsad district,3236626,5434041159.757242,14.990041987153834,22.41594892240794
Gujarat,2021,2,mahisagar district,364905,744153750.2746319,12.807392324714877,20.42775822504239
Gujarat,2021,2,sabar kantha district,1659480,3248644724.13906,14.322014858246705,21.901503738358848
Gujarat,2021,2,tapi district,814911,1327829881.8383355,13.61083418380599,21.006811778769666
Gujarat,2021,2,vadodara district,7847805,12902554421.650602,15.87574443282384,23.28069114589344
Gujarat,2021,2,banas kantha district,3648428,8286069195.93278,15.109806947855775,22.837841531512055
Gujarat,2021,2,amreli district,659562,1524494293.670391,13.399331257334888,21.144928581302857
Gujarat,2021,2,ahmadabad district,44173046,79437951666.15146,17.603625342028163,25.09824207168513
Gujarat,2021,2,dohad district,693945,1556292873.7368991,13.450147985627977,21.165572467186987
Gujarat,2021,2,navsari district,1296111,2197674429.667848,14.074878800374911,21.51066556078659
Gujarat,2021,2,patan district,1384484,2811156126.4368644,14.140838065007777,21.75686166857244
Gujarat,2021,2,kachchh district,3268191,7040086478.344803,14.999747178786592,22.674886290896712
Gujarat,2021,2,surendranagar district,1029627,2066433661.8066688,13.84470715869644,21.449090089686138
Gujarat,2021,2,morbi district,1027658,2441470415.445466,13.842792984820472,21.615866324024342
Gujarat,2021,3,anand district,2268123,3900508554.1397376,14.634463175163468,22.084372780078237
Gujarat,2021,3,jamnagar district,1546406,2841962054.6034217,14.251444086848037,21.767760514879626
Gujarat,2021,3,devbhumi dwarka district,418822,960353473.0403948,12.945201287639883,20.682811975740517
