State,Year,Quarter,Pincode,Transaction_count,Transaction_amount,Pincode_log,Transaction_count_log,Transaction_amount_log
Andaman & Nicobar,2020,3,744112.0,3422,6067986.696111794,13.519946840119985,8.137980454452139,15.618537426981412
Andaman & Nicobar,2020,3,744301.0,3071,13352610.531559702,13.520200801891368,8.029758520440822,16.4072224691292
Andaman & Nicobar,2020,3,744205.0,2991,7535645.788593667,13.520071813496115,8.003363058629947,15.83515509155853
Andaman & Nicobar,2020,4,744103.0,46884,138264791.5489212,13.519934745093392,10.75543174484307,18.744681183955826
Andaman & Nicobar,2020,4,744101.0,40392,136401368.02166596,13.51993205728984,10.606387024538751,18.731112332807694
Andaman & Nicobar,2020,4,744105.0,34410,87838226.93633425,13.519937432889723,10.446102498791525,18.29100735037075
Andaman & Nicobar,2020,4,744102.0,26694,76348598.32238364,13.51993340119252,10.192194100034097,18.150820230879958
Andaman & Nicobar,2020,4,744202.0,10949,25543799.074759968,13.520067782340659,9.301003406873425,17.055905147497086
Andaman & Nicobar,2020,4,744107.0,9743,18083250.19055397,13.519940120678827,9.184304357425342,16.710496663948778
Andaman & Nicobar,2020,4,744104.0,7654,19126095.533284884,13.519936088992461,8.942983665985647,16.766564218822417
Andaman & Nicobar,2020,4,744112.0,7016,15890275.050448488,13.519946840119985,8.855948534052018,16.58121784802001
Andaman & Nicobar,2020,4,744205.0,5118,12002695.281042248,13.520071813496115,8.540519016719735,16.300641789285475
Andaman & Nicobar,2020,4,744201.0,5011,6777275.536669218,13.520066438618562,8.519390774959724,15.729085740908575
Andaman & Nicobar,2021,1,744101.0,55726,190830957.0606181,13.51993205728984,10.928202103359991,19.066898552562932
Andaman & Nicobar,2021,1,744103.0,47328,158404100.7854989,13.519934745093392,10.764857365510526,18.88065992580683
Andaman & Nicobar,2021,1,744105.0,35467,111571687.43195169,13.519937432889723,10.476357965673646,18.530177878878686
Andaman & Nicobar,2021,1,744102.0,23957,80750048.8238959,13.51993340119252,10.084015835708989,18.206869124697146
Andaman & Nicobar,2021,1,744211.0,10648,34956327.94105429,13.52007987575828,9.273127360074948,17.369610067223906
Andaman & Nicobar,2021,1,744202.0,10597,28127629.877961583,13.520067782340659,9.268326221174837,17.15226292088934
Andaman & Nicobar,2021,1,744107.0,8848,19627951.469969157,13.519940120678827,9.087946723762116,16.79246520369902
Andaman & Nicobar,2021,1,744104.0,8799,27854306.51949638,13.519936088992461,9.08239335764556,17.142498145040133
Andaman & Nicobar,2021,1,744112.0,7113,21084790.0528014,13.519946840119985,8.869679374733515,16.864062487930457
Andaman & Nicobar,2021,1,744301.0,5630,22671937.31314759,13.520200801891368,8.635864721133736,16.936638475962923
Andaman & Nicobar,2021,2,744101.0,73334,227585492.7414593,13.51993205728984,11.202779627534158,19.2430365180332
Andaman & Nicobar,2021,2,744103.0,66321,174752815.1688521,13.519934745093392,11.102261868103218,18.978883048641435
Andaman & Nicobar,2021,2,744105.0,52645,134835744.22049245,13.519937432889723,10.87132654629086,18.719567886132946
Andaman & Nicobar,2021,2,744102.0,34289,100890426.76234056,13.51993340119252,10.442579882010428,18.429545602352228
Andaman & Nicobar,2021,2,744202.0,16476,40647907.96960775,13.520067782340659,9.709660055555972,17.52045792817146
Andaman & Nicobar,2021,2,744107.0,14524,24690581.539094776,13.519940120678827,9.583557732534226,17.02193241467277
Andaman & Nicobar,2021,2,744104.0,11278,28333852.06159348,13.519936088992461,9.330609204367127,17.15956783367513
Andaman & Nicobar,2021,2,744211.0,10182,20377949.346094526,13.52007987575828,9.228376734462282,16.82996395979802
Andaman & Nicobar,2021,2,744112.0,9635,21637658.167199604,13.519946840119985,9.173157580848466,16.889945788304683
Andaman & Nicobar,2021,2,744301.0,8463,27666837.39688266,13.520200801891368,9.043458999670106,17.135745048045383
Andaman & Nicobar,2021,3,744101.0,116324,388328168.7639693,13.51993205728984,11.664134680071557,19.777361335887278
Andaman & Nicobar,2021,3,744103.0,84790,246433385.80990067,13.519934745093392,11.347932890298049,19.32260227480347
Andaman & Nicobar,2021,3,744105.0,67257,185238368.4767078,13.519937432889723,11.116276381266509,19.037154031919314
Andaman & Nicobar,2021,3,744102.0,43850,131239564.16909727,13.51993340119252,10.688529997800329,18.692534945182242
Andaman & Nicobar,2021,3,744202.0,19088,48475163.57429314,13.520067782340659,9.856815144337697,17.696562133492517
Andaman & Nicobar,2021,3,744107.0,16203,37962312.09641009,13.519940120678827,9.692951689261001,17.45210443860799
Andaman & Nicobar,2021,3,744104.0,14657,35301326.114471875,13.519936088992461,9.5926733160273,17.37943108818011
Andaman & Nicobar,2021,3,744112.0,11565,28491553.61094001,13.519946840119985,9.355738574665539,17.165118236785812
Andaman & Nicobar,2021,3,744301.0,11553,43464511.051198,13.520200801891368,9.354700422483019,17.58745532517856
Andaman & Nicobar,2021,3,744211.0,9655,19497765.25714052,13.52007987575828,9.175231194862615,16.78581041476872
Andaman & Nicobar,2021,4,744101.0,165719,533026207.9731797,13.51993205728984,12.018048861898452,20.09408115160267
Andaman & Nicobar,2021,4,744103.0,121613,372243734.27985656,13.519934745093392,11.708599150694699,19.735059397364857
Andaman & Nicobar,2021,4,744105.0,95028,281223411.7435058,13.519937432889723,11.461926863998412,19.454659970991003
Andaman & Nicobar,2021,4,744102.0,58258,174623253.47653326,13.51993340119252,10.972636701053597,18.97814137392536
Andaman & Nicobar,2021,4,744211.0,27938,94222862.10725296,13.52007987575828,10.237743048287497,18.361173407629536
Andaman & Nicobar,2021,4,744104.0,25662,69245386.0816525,13.519936088992461,10.152766577454964,18.0531670738323
Andaman & Nicobar,2021,4,744202.0,21913,67790798.04849821,13.520067782340659,9.994835346995403,18.031937021701008
