State,Year,Quarter,Pincode,RegisteredUsers,Pincode_log,RegisteredUsers_log
Andaman & Nicobar,2021,3,744103,13198,13.519934745093392,9.487820581943367
Andaman & Nicobar,2021,3,744105,11480,13.519937432889723,9.348361669873558
Andaman & Nicobar,2021,3,744101,10866,13.51993205728984,9.293393927111468
Andaman & Nicobar,2021,3,744102,7313,13.51993340119252,8.89740886527095
Andaman & Nicobar,2021,3,744202,3543,13.520067782340659,8.172729104865471
Andaman & Nicobar,2021,3,744107,3027,13.519940120678827,8.01532730902172
Andaman & Nicobar,2021,3,744104,2777,13.519936088992461,7.9291264873067995
Andaman & Nicobar,2021,3,744112,2250,13.519946840119985,7.718685495198466
Andaman & Nicobar,2021,3,744211,2055,13.52007987575828,7.628031126930335
Andaman & Nicobar,2021,3,744205,1771,13.520071813496115,7.479299637782834
Andaman & Nicobar,2021,4,744103,14127,13.519934745093392,9.555843138911664
Andaman & Nicobar,2021,4,744105,12300,13.519937432889723,9.417354541360508
Andaman & Nicobar,2021,4,744101,11623,13.51993205728984,9.360741172643708
Andaman & Nicobar,2021,4,744102,7813,13.51993340119252,8.963544291996744
Andaman & Nicobar,2021,4,744202,3815,13.520067782340659,8.246695943718557
Andaman & Nicobar,2021,4,744107,3247,13.519940120678827,8.085486772102845
Andaman & Nicobar,2021,4,744104,2962,13.519936088992461,7.993619994827744
Andaman & Nicobar,2021,4,744112,2411,13.519946840119985,7.787796878181171
Andaman & Nicobar,2021,4,744211,2200,13.52007987575828,7.696212639346407
Andaman & Nicobar,2021,4,744205,1902,13.520071813496115,7.550661243105336
Andaman & Nicobar,2022,1,744103,15011,13.519934745093392,9.616538544660177
Andaman & Nicobar,2022,1,744105,13070,13.519937432889723,9.478074806618269
Andaman & Nicobar,2022,1,744101,12300,13.51993205728984,9.417354541360508
Andaman & Nicobar,2022,1,744102,8271,13.51993340119252,9.020510699691906
Andaman & Nicobar,2022,1,744202,4107,13.520067782340659,8.320448113956559
Andaman & Nicobar,2022,1,744107,3455,13.519940120678827,8.14757773620177
Andaman & Nicobar,2022,1,744104,3146,13.519936088992461,8.053887083618223
Andaman & Nicobar,2022,1,744112,2552,13.519946840119985,7.844632644464681
Andaman & Nicobar,2022,1,744211,2344,13.52007987575828,7.759614150696903
Andaman & Nicobar,2022,1,744205,2034,13.520071813496115,7.617759576608505
Andaman & Nicobar,2022,2,744103,15799,13.519934745093392,9.66770192587285
Andaman & Nicobar,2022,2,744105,13791,13.519937432889723,9.531771484474337
Andaman & Nicobar,2022,2,744101,12947,13.51993205728984,9.468619380058648
Andaman & Nicobar,2022,2,744102,8709,13.51993340119252,9.07211225269274
Andaman & Nicobar,2022,2,744202,4361,13.520067782340659,8.380456667842767
Andaman & Nicobar,2022,2,744107,3674,13.519940120678827,8.20903626577507
Andaman & Nicobar,2022,2,744104,3319,13.519936088992461,8.107418811719974
Andaman & Nicobar,2022,2,744112,2700,13.519946840119985,7.90100705199242
Andaman & Nicobar,2022,2,744211,2471,13.52007987575828,7.81237820598861
Andaman & Nicobar,2022,2,744205,2162,13.520071813496115,7.6787889981991535
Andaman & Nicobar,2022,3,744103,16666,13.519934745093392,9.721125994942152
Andaman & Nicobar,2022,3,744105,14503,13.519937432889723,9.58211080356025
Andaman & Nicobar,2022,3,744101,13649,13.51993205728984,9.521421537856195
Andaman & Nicobar,2022,3,744102,9148,13.51993340119252,9.121290555142672
Andaman & Nicobar,2022,3,744202,4572,13.520067782340659,8.427706024914702
Andaman & Nicobar,2022,3,744107,3868,13.519940120678827,8.260492856573185
Andaman & Nicobar,2022,3,744104,3493,13.519936088992461,8.158516244806831
Andaman & Nicobar,2022,3,744112,2837,13.519946840119985,7.950502434808851
Andaman & Nicobar,2022,3,744211,2577,13.52007987575828,7.854381210652365
Andaman & Nicobar,2022,3,744205,2268,13.520071813496115,7.7266536648476425
Andaman & Nicobar,2022,4,744103,17406,13.519934745093392,9.76457025334946
Andaman & Nicobar,2022,4,744105,15185,13.519937432889723,9.62806337747985
Andaman & Nicobar,2022,4,744101,14337,13.51993205728984,9.570598887246268
Andaman & Nicobar,2022,4,744102,9591,13.51993340119252,9.16858043772795
Andaman & Nicobar,2022,4,744202,4760,13.520067782340659,8.468002947225466
Andaman & Nicobar,2022,4,744107,4051,13.519940120678827,8.30671904320269
Andaman & Nicobar,2022,4,744104,3647,13.519936088992461,8.20166019080868
Andaman & Nicobar,2022,4,744112,2975,13.519946840119985,7.99799931797973
Andaman & Nicobar,2022,4,744211,2679,13.52007987575828,7.893198869544609
Andaman & Nicobar,2022,4,744205,2358,13.520071813496115,7.765569081097317
Andhra Pradesh,2018,1,517501,39884,13.156766736486944,10.593730519948684
Andhra Pradesh,2018,1,530016,34201,13.18066247375188,10.440010162389305
Andhra Pradesh,2018,1,517507,34111,13.156778330600226,10.43737519189882
Andhra Pradesh,2018,1,515001,31964,13.151924121391561,10.372365548494354
Andhra Pradesh,2018,1,516001,29078,13.153863982446317,10.27773715349137
Andhra Pradesh,2018,1,518002,29043,13.157734382238027,10.276532769388181
Andhra Pradesh,2018,1,530026,26889,13.180681340928842,10.199472560025471
Andhra Pradesh,2018,1,516360,26187,13.154559475620646,10.173018383403459
Andhra Pradesh,2018,1,520010,24397,13.161603321141932,10.10221545290255
Andhra Pradesh,2018,1,524002,23439,13.169250780089788,10.062156580664855
Andhra Pradesh,2018,2,517501,53468,13.156766736486944,10.886838623091364
Andhra Pradesh,2018,2,517507,45241,13.156778330600226,10.719759034318209
Andhra Pradesh,2018,2,530016,43386,13.18066247375188,10.677892087403007
Andhra Pradesh,2018,2,515001,42466,13.151924121391561,10.656459034741738
Andhra Pradesh,2018,2,516001,38402,13.153863982446317,10.555864820552863
Andhra Pradesh,2018,2,518002,37593,13.157734382238027,10.534573141833395
Andhra Pradesh,2018,2,516360,34544,13.154559475620646,10.449989152754588
Andhra Pradesh,2018,2,530026,34126,13.180681340928842,10.43781483608721
Andhra Pradesh,2018,2,520010,31871,13.161603321141932,10.369451784390096
Andhra Pradesh,2018,2,524002,31134,13.169250780089788,10.346055748595795
Andhra Pradesh,2018,3,517501,65157,13.156766736486944,11.08455502114043
Andhra Pradesh,2018,3,517507,54849,13.156778330600226,10.912339233996615
Andhra Pradesh,2018,3,530016,52259,13.18066247375188,10.863967403797764
Andhra Pradesh,2018,3,515001,51449,13.151924121391561,10.84834630472734
Andhra Pradesh,2018,3,516001,46691,13.153863982446317,10.751306705598122
Andhra Pradesh,2018,3,518002,45145,13.157734382238027,10.717634810741579
Andhra Pradesh,2018,3,516360,41963,13.154559475620646,10.644543556617958
Andhra Pradesh,2018,3,530026,40580,13.180681340928842,10.611030613379805
Andhra Pradesh,2018,3,520010,38918,13.161603321141932,10.569212147518101
Andhra Pradesh,2018,3,524002,37559,13.169250780089788,10.533668308899614
Andhra Pradesh,2018,4,517501,82873,13.156766736486944,11.32506459446695
Andhra Pradesh,2018,4,517507,70421,13.156778330600226,11.162246793119436
Andhra Pradesh,2018,4,530016,65549,13.18066247375188,11.09055323354535
Andhra Pradesh,2018,4,515001,63576,13.151924121391561,11.059991319620016
Andhra Pradesh,2018,4,516001,58028,13.153863982446317,10.968680931658794
Andhra Pradesh,2018,4,518002,55735,13.157734382238027,10.928363594823724
Andhra Pradesh,2018,4,516360,52058,13.154559475620646,10.860113760599686
Andhra Pradesh,2018,4,530026,51900,13.180681340928842,10.85707406915398
Andhra Pradesh,2018,4,520010,48991,13.161603321141932,10.79939188675334
Andhra Pradesh,2018,4,524002,46616,13.169250780089788,10.74969910882291
Andhra Pradesh,2019,1,517501,100561,13.156766736486944,11.518519787526538
Andhra Pradesh,2019,1,517507,85980,13.156778330600226,11.361869990050273
Andhra Pradesh,2019,1,530016,77790,13.18066247375188,11.26176816720082
Andhra Pradesh,2019,1,515001,75171,13.151924121391561,11.227520797262487
Andhra Pradesh,2019,1,516001,68514,13.153863982446317,11.134793382929702
Andhra Pradesh,2019,1,518002,66689,13.157734382238027,11.107795300762092
Andhra Pradesh,2019,1,530026,61623,13.180681340928842,11.028790456457282
Andhra Pradesh,2019,1,516360,60798,13.154559475620646,11.015312172676373
Andhra Pradesh,2019,1,520010,59055,13.161603321141932,10.986224492045947
Andhra Pradesh,2019,1,524002,55931,13.169250780089788,10.93187406714802
Andhra Pradesh,2019,2,517501,113033,13.156766736486944,11.635435090458671
Andhra Pradesh,2019,2,517507,97534,13.156778330600226,11.487956314146684
Andhra Pradesh,2019,2,530016,87556,13.18066247375188,11.380033867633045
Andhra Pradesh,2019,2,515001,84157,13.151924121391561,11.340439380948357
Andhra Pradesh,2019,2,516001,76617,13.153863982446317,11.246574263220277
Andhra Pradesh,2019,2,518002,75952,13.157734382238027,11.2378568407911
Andhra Pradesh,2019,2,530026,68283,13.180681340928842,11.131416112674295
Andhra Pradesh,2019,2,516360,66885,13.154559475620646,11.110730005729687
Andhra Pradesh,2019,2,520010,66082,13.161603321141932,11.098651674080669
Andhra Pradesh,2019,2,524002,62933,13.169250780089788,11.049825947401231
Andhra Pradesh,2019,3,517501,124727,13.156766736486944,11.733882627878286
Andhra Pradesh,2019,3,517507,108199,13.156778330600226,11.591727403207631
Andhra Pradesh,2019,3,530016,97323,13.18066247375188,11.485790622562911
Andhra Pradesh,2019,3,515001,93191,13.151924121391561,11.44240642948723
Andhra Pradesh,2019,3,518002,84918,13.157734382238027,11.349441363961894
Andhra Pradesh,2019,3,516001,84693,13.153863982446317,11.346788232596792
Andhra Pradesh,2019,3,530026,74501,13.180681340928842,11.218567827096358
Andhra Pradesh,2019,3,516360,73267,13.154559475620646,11.201865581863736
Andhra Pradesh,2019,3,520010,72722,13.161603321141932,11.194399231223441
Andhra Pradesh,2019,3,524002,69783,13.169250780089788,11.153145706078018
Andhra Pradesh,2019,4,517501,136436,13.156766736486944,11.823610919186972
Andhra Pradesh,2019,4,517507,119146,13.156778330600226,11.688104910834536
Andhra Pradesh,2019,4,530016,106404,13.18066247375188,11.574998449168007
Andhra Pradesh,2019,4,515001,102848,13.151924121391561,11.541007449097185
Andhra Pradesh,2019,4,516001,94209,13.153863982446317,11.453270997401939
Andhra Pradesh,2019,4,518002,94193,13.157734382238027,11.453101147824563
